符号：👴	old
符号：👷	worker
符号：👸	queen
符号：👹	evil
符号：👻	ghost
符号：👼	angle
符号：💀	dead
符号：👯	dancing
符号：👰	wendding
符号：👪	people
符号：💁	role
符号：🙆	lookfar
符号：🙇	working
符号：🙋	hand
符号：🙋	raise
符号：🙍	upset
符号：🙎	stare
符号：🏻	white
符号：🏼	yellow
符号：🏽	brown
符号：🏾	dark
符号：🏿	black
符号：💄	lip
符号：💄	stick
符号：💅	nail
符号：💅	polisher
符号：💆	face
符号：💆	massage
符号：💇	hair
符号：💇	cut
符号：💌	letter
符号：💍	ring
符号：💎	diamond
符号：💐	bouquet
符号：💒	wedding
符号：💓	heart
符号：💔	broken
符号：💠	icon
符号：💡	bulb
符号：💢	hit
符号：💣	bomb
符号：💤	sleepy
符号：💥	collision
符号：💦	sweat
符号：💧	tear
符号：💨	dash
符号：💩	shit
符号：💪	muscle
符号：💫	dizzy
符号：💬	speech
符号：💭	thought
符号：💳	card
符号：💴	bill
符号：💹	stock
符号：💺	chair
符号：💺	seat
符号：💻	computer
符号：💽	disc
符号：💾	floppy
符号：📁	folder
符号：📃	page
符号：📃	print
符号：📅	calendar
符号：📈	chart
符号：📈	prosperity
符号：📉	depression
符号：📊	bar
符号：📋	clip
符号：📋	board
符号：📌	pin
符号：📏	ruler
符号：📑	book
符号：📑	mark
符号：📖	open
符号：📘	blue
符号：📚	books
符号：📛	name
符号：🔞	numeric
符号：🔞	sign
符号：🔠	uppercase
符号：🔡	lowercase
符号：🔢	numbermode
符号：🔣	punctmode
符号：🔤	englishmode
符号：⭕	yes
符号：📝	memo
符号：📞	tele
符号：📞	phone
符号：📟	pager
符号：📠	fax
符号：📡	antenna
符号：📢	speaker
符号：📤	outbox
符号：📥	inbox
符号：📪	mail
符号：📪	box
符号：📬	newmail
符号：📬	mailbox
符号：📭	empty
符号：📯	horn
符号：📰	newspaper
符号：📱	mobile
符号：📶	signal
符号：💉	inject
符号：💊	pill
符号：📷	camara
符号：📹	vcr
符号：📻	radio
符号：📼	cassette
符号：🍴	fork
符号：🍴	knife
符号：🔀	random
符号：🔀	play
符号：🔁	repeat
符号：🔂	nonrepeat
符号：🔅	brightness
符号：🔅	ui
符号：🔇	sound
符号：🔋	battery
符号：🔌	plug
符号：🔍	zoom
符号：🔏	lock
符号：🔑	key
符号：🔓	unlock
符号：🔔	bell
符号：🔘	button
符号：🔺	previous
符号：🔻	next
符号：🎦	camera
符号：⬆	arrow
符号：↗	upright
符号：↖	upleft
符号：↘	downright
符号：↙	downleft
符号：▶	preceed
符号：⏪	forward
符号：⏩	abckward
符号：🔥	fire
符号：🔦	light
符号：🔧	tool
符号：🔫	gun
符号：🔬	micro
符号：🔬	scope
符号：🔮	crystal
符号：🔮	sadstal
符号：🔯	hex
符号：🔰	shield
符号：🔱	triad
符号：🔲	square
符号：🔴	circle
符号：🔶	rhombic
符号：🕃	religious
符号：🕐	one
符号：🕐	clock
符号：🕑	two
符号：🕒	three
符号：🕓	four
符号：🕔	five
符号：🕕	six
符号：🕖	seven
符号：🕗	eight
符号：🕘	nine
符号：🕙	ten
符号：🕚	eleven
符号：🕛	twelve
符号：🕜	onehalf
符号：🕝	twohalf
符号：🕞	threehalf
符号：🕟	fourhalf
符号：🕠	fivehalf
符号：🕡	sixhalf
符号：🕢	sevenhalf
符号：🕣	eighthalf
符号：🕤	ninehalf
符号：🕥	tenhalfe
符号：🕦	elevenhalf
符号：🕧	twelvehalf
符号：🗼	france
符号：🗽	usa
符号：🗿	easter
符号：🇯🇵	country
符号：🇰🇷	korea
符号：🇨🇳	china
符号：🇪🇸	spain
符号：🇮🇹	italy
符号：🇷🇺	russia
符号：🇬🇧	uk
符号：🇩🇪	germany
符号：🇦🇺	austrilia
符号：🇦🇹	austria
符号：🇧🇪	belgium
符号：🇧🇷	brazil
符号：🇨🇦	canada
符号：🇨🇱	chile
符号：🇨🇴	colombia
符号：🇩🇰	denmark
符号：🇫🇮	finland
符号：🇭🇰	hongkong
符号：🇮🇳	india
符号：🇮🇩	indonesia
符号：🇮🇪	ireland
符号：🇮🇱	israel
符号：🇲🇴	macau
符号：🇲🇾	malaysia
符号：🇲🇽	mexico
符号：🇳🇱	netherlands
符号：🇳🇿	newzealand
符号：🇳🇴	norway
符号：🇵🇭	philippin
符号：🇵🇱	poland
符号：🇵🇹	portugal
符号：🇵🇷	puertorico
符号：🇸🇦	saudiarabia
符号：🇸🇬	singapore
符号：🇿🇦	southafrica
符号：🇸🇪	sweden
符号：🇹🇷	turkey
符号：🇨🇭	switzerland
符号：🇦🇪	unitedarab
符号：🇻🇳	vietnam
符号：😀	smile
符号：😀	happy
符号：😂	laugh
符号：😱	dislike
符号：😣	sigh
符号：😣	sad
符号：😭	cry
符号：👽	indifferent
符号：😍	like
符号：😨	surprise
符号：😏	grin
符号：😢	doubt
符号：🙈	see
符号：🙉	hear
符号：🙊	speak
符号：🚁	helicopter
符号：🚂	train
符号：🚄	fast
符号：🚇	metro
符号：🚊	tram
符号：🚌	bus
符号：🚐	mini
符号：🚑	ambulence
符号：🚑	emergency
符号：🚒	fireman
符号：🚔	taxi
符号：🚖	car
符号：🚙	truck
符号：🚝	railway
符号：🚟	cable
符号：🚢	ship
符号：🚥	traffic
符号：🚪	door
符号：🚫	admin
符号：🚲	road
符号：🛂	borderadmin
符号：🛄	luggage
符号：1⃣	squared
符号：0⃣	zero
符号：🄂	withcomma
符号：🈵	hanzi
符号：🈳	kong
符号：🉐	de
符号：🈹	ge
符号：🈯	zhi
符号：🈺	ying
符号：🈶	you
符号：🈚	wu
符号：🈷	yue
符号：🈸	shen
符号：🈐	shou
符号：🈑	zi
符号：🈒	shuang
符号：🈩	yi
符号：🈔	er
符号：🈪	san
符号：🈬	zuo
符号：🈭	zhong
符号：🈕	duo
符号：🈖	jie
符号：🈗	tian
符号：🈘	jiao
符号：🈛	liao
符号：🈜	qian
符号：🈞	zai
符号：🈟	xin
符号：🈠	chu
符号：🈢	sheng
符号：🈣	fan
符号：🈥	chui
符号：🈦	yan
符号：🈧	tou
符号：🈨	bu
符号：🈰	zou
符号：🈱	da
符号：🈲	jin
符号：🈴	he
符号：🈂	sa
符号：🈁	koko
符号：♈	aries
符号：♉	taurus
符号：♊	gemini
符号：♋	cancer
符号：♌	leo
符号：♍	virgo
符号：♎	libra
符号：♏	scorpio
符号：♐	sagittarius
符号：♑	capricorn
符号：♒	aquarius
符号：♓	pices
符号：⛎	ophiuchus
符号：🄐	lettera
符号：🄐	bracket
符号：🄑	letterb
符号：🄒	letterc
符号：🄓	letterd
符号：🄔	lettere
符号：🄕	letterf
符号：🄖	letterg
符号：🄗	letterh
符号：🄘	letteri
符号：🄙	letterj
符号：🄚	letterk
符号：🄛	letterl
符号：🄜	letterm
符号：🄝	lettern
符号：🄞	lettero
符号：🄟	letterp
符号：🄠	letterq
符号：🄡	letterr
符号：🄢	letters
符号：🄣	lettert
符号：🄤	letteru
符号：🄥	letterv
符号：🄦	letterw
符号：🄧	letterx
符号：🄨	lettery
符号：🄩	letterz
符号：🅐	circled
符号：🅰	roundsqr
符号：🆎	letterab
符号：👖	jeans
符号：👘	kimono
符号：🈚	u7121
符号：🇸🇲	marino
符号：🚼	symbol
符号：🚯	litter
符号：📳	mode
符号：😍	eyes
符号：🇬🇷	greece
符号：🤒	thermometer
符号：👼	angel
符号：🤳	selfie
符号：🎟	tickets
符号：🇧🇲	bermuda
符号：⌛	hourglass
符号：🎞	strip
符号：🚎	trolleybus
符号：🌪	tornado
符号：⛪	church
符号：🛋	lamp
符号：🕎	menorah
符号：🔬	microscope
符号：🇸🇰	slovakia
符号：⚡	zap
符号：🍨	cream
符号：🛄	claim
符号：🇫🇲	micronesia
符号：🈳	u7a7a
符号：🍊	tangerine
符号：🇰🇾	islands
符号：🗂	dividers
符号：😋	yum
符号：💰	moneybag
符号：😊	blush
符号：🍃	leaves
符号：🎪	tent
符号：📃	curl
符号：🇲🇶	martinique
符号：🇵🇼	palau
符号：🕣	clock830
符号：🇸🇩	sudan
符号：🐡	blowfish
符号：🇬🇳	guinea
符号：🇧🇯	benin
符号：🦍	gorilla
符号：👳‍♀️	turban
符号：👩‍🔬	scientist
符号：💃	dancer
符号：🇧🇱	barthelemy
符号：🤷	shrugging
符号：🇧🇦	herzegovina
符号：🔇	mute
符号：👔	necktie
符号：❓	question
符号：↩️	hook
符号：🇮🇹	it
符号：🇧🇬	bulgaria
符号：🖊	pen
符号：🔧	wrench
符号：💅	care
符号：🇧🇮	burundi
